
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 420/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 421/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 422/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 423/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 424/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 425/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 426/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 427/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 428/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 429/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 430/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 431/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 432/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 433/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 434/500 | Current Best Fitness: 971 | Violations: 0
POA Generation 435/500 | Current Best Fitness: 971 | Violations: 0
POA Generation 436/500 | Current Best Fitness: 971 | Violations: 0
