kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
CIT60036,Teknologi Berbasis Cloud,Teknologi Informasi,1,Pengampu,16.0,"['16.0', '20.0', '35.0', '46.0', '75.0', '104.0']",reguler,F4.12,Rabu_16:10-17:00
CIT60039,Pengembangan Aplikasi Web Lanjut,Teknologi Informasi,1,"Pengelola, Pengampu",4.0,"['4.0', '16.0', '47.0', '1.0', '31.0', '75.0']",reguler,F3.12,Jumat_09:30-10:20
CIT60042,Teknologi Blockchain dan Platform Keuangan Digital,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",14.0,"['14.0', '47.0', '46.0']",reguler,F3.5b,Senin_10:20-11:10
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,1,"Pengelola, Pengampu",46.0,"['46.0', '17.0', '35.0', '41.0', '63.0', '65.0', '75.0']",reguler,F4.4,Senin_09:30-10:20
CIT60045,Kriptografi,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",14.0,"['14.0', '75.0']",reguler,F4.10,Senin_17:00-17:50
CIT60047,Tata Kelola dan Kebijakan Keamanan Siber,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",14.0,"['14.0', '94.0', '17.0', 'Belum Ada Dosen', '46.0']",reguler,F4.14,Rabu_12:00-12:50
CIT60048,Information Retrieval,Teknologi Informasi,1,"Pengelola, Pengampu",52.0,"['52.0', '107.0', '1.0', '80.0', '93.0', '47.0', '89.0', '97.0']",reguler,F4.13,Rabu_13:40-14:30
CIT60049,Teknologi Basis Data Non Relational,Teknologi Informasi,1,"Pengelola, Pengampu",102.0,"['102.0', '16.0', 'Belum Ada Dosen']",reguler,F3.10,Jumat_11:10-12:00
CIT60051,Teknologi Smart City,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,"['47.0', '20.0', '67.0', '105.0', '6.0', '58.0']",reguler,F9.2,Selasa_10:20-11:10
CIT60052,Pengembangan Aplikasi Mobile Terapan,Teknologi Informasi,1,Pengampu,16.0,"['16.0', '20.0', '47.0']",reguler,F2.4,Jumat_07:00-07:50
