kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,Pengampu,70.0,['70.0'],reguler,F2.6,Rabu_12:00-12:50
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,Pengampu,75.0,['75.0'],reguler,F11.1,Jumat_16:10-17:00
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,Pengampu,76.0,['76.0'],reguler,F4.14,Jumat_17:50-18:40
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,Pengampu,91.0,['91.0'],reguler,F3.14,Senin_07:00-07:50
CIE62204,Paradigma Sistem,Pendidikan Teknologi Informasi,1,Pengampu,6.0,['6.0'],reguler,F3.11,Selasa_12:50-13:40
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",16.0,['16.0'],reguler,F4.10,Rabu_17:50-18:40
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F3.12,Rabu_07:00-07:50
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,Pengampu,1.0,['1.0'],reguler,F11.1,Kamis_07:50-08:40
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,Pengampu,6.0,['6.0'],reguler,F3.14,Rabu_11:10-12:00
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,Pengampu,40.0,['40.0'],reguler,F3.12,Kamis_10:20-11:10
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,Pengampu,60.0,['60.0'],reguler,F4.6,Jumat_12:50-13:40
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,Pengampu,67.0,['67.0'],reguler,F3.10,Senin_17:00-17:50
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,1,Pengampu,76.0,['76.0'],reguler,F4.10,Kamis_16:10-17:00
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,2,Pengampu,22.0,['22.0'],reguler,F2.4,Kamis_13:40-14:30
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,2,Pengampu,62.0,['62.0'],reguler,F2.4,Kamis_12:00-12:50
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,2,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.16,Selasa_17:50-18:40
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",92.0,['92.0'],reguler,F3.12,Senin_09:30-10:20
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94.0,['94.0'],reguler,F3.13,Kamis_17:50-18:40
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",30.0,['30.0'],reguler,F2.6,Rabu_08:40-09:30
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",107.0,['107.0'],reguler,F3.14,Jumat_17:50-18:40
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,Pengampu,16.0,['16.0'],reguler,F3.17,Selasa_13:40-14:30
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,Pengampu,20.0,['20.0'],reguler,F11.1,Kamis_09:30-10:20
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,Pengampu,29.0,['29.0'],reguler,F4.7,Jumat_17:50-18:40
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,Pengampu,52.0,['52.0'],reguler,F3.10,Jumat_08:40-09:30
CIE62303,Kecerdasan Artifisial,Pendidikan Teknologi Informasi,1,Pengampu,97.0,['97.0'],reguler,F3.18,Senin_12:00-12:50
